"","title","comment_number","speaker","V1","index_words_start","index_words_end","index","negative","positive","sentiment","sum_sentiment","max","min","index_stan","speaker_viz","index_number"
"1","1_Wallace:","1","Wallace:","Wallace: Good evening from the Thomas and Mack Center at the University of Nevada, Las Vegas. I'm Chris Wallace of Fox News and I welcome you to the third and final of the 2016 presidential debates between secretary of state Hillary Clinton and Donald J. Trump. This debate is sponsored by the Commission on Presidential Debates. The commission has designed the format. Six roughly 15-minute segments, with two minute answers to the first question then open discussion for the rest of each segment. Both campaigns have agreed to those rules. For the record, I decided the topics and the questions in each topic. None of those questions has been shared with a commission or the two candidates. The audience here in the hall has promised to remain silent. No cheers, boos or other interruptions so we and you can focus on what the candidates have to say. No noise except right now as we welcome the Democratic nominee for president, secretary Clinton, and the Republican nominee for president, Mr. Trump.",1,71,1,2,4,2,2,1,1,100,0,1
"2","10_Wallace:","10","Wallace:","Wallace: Let me bring in secretary Clinton. Were you extremely upset?",457,461,10,1,0,-1,-1,10,1,100,0,2
"3","100_Clinton:","100","Clinton:","But it was a terrible recession. So now we've dug ourselves out of it. We're standing, but we're not yet running. So what I am proposing is that we invest from the middle out, and the ground up. Not the top down. That is not going to work. That is why what I have put forward doesn't add a penny to the debt. But it is the kind of approach that will enable more people to take those new jobs, higher paying jobs. We're beginning to see some increase in incomes. And we certainly have had a long string of increasing jobs. We have got to do more to get the whole economy moving and that's what I believe I will be able to do.",2146,2206,100,3,1,-2,-5,100,1,100,0,3
"4","100_Clinton:","100","Clinton:","Clinton: Well, it is a combination, Chris. Let me say that when you inherit the level of economic catastrophe that President Obama inherited, it was a real touch and go situation. I was in the Senate before I became secretary of state. I've never seen people as physically distraught as the Bush administration team was because of what was happening to the economy. I personally believe that the steps that President Obama took saved the economy. He doesn't get the credit he deserves for taking some very hard positions.",2146,2206,100,3,0,-3,-5,100,1,100,0,4
"5","101_Wallace:","101","Wallace:","Wallace: Mr. Trump, even conservative economists who have looked at your plan say that the numbers don't add up. That your idea, and you’ve talked about 25 million jobs created. 4% growth-",2207,2221,101,1,1,0,0,101,1,100,0,5
"6","103_Wallace:","103","Wallace:","Wallace: -- is unrealistic. And they say, you talk a lot about growing the energy industry. They say with oil prices as low as they are right now, that's unrealistic as well. Your response?",2224,2234,103,2,0,-2,-2,103,1,100,0,6
"7","104_Trump:","104","Trump:","Trump: So I just left some high representatives of India. They're growing at 8%. China is growing at 7%. And that for them is a catastrophically low number. We are growing our last report came out, and it is right around the 1% level. And I think it’s going down. Last week as you know, the end of last week, they came out with an anemic jobs report. A terrible jobs report. In fact, I said is that the last jobs report before the election? Because if it is, I should win easily because it was so bad. The report was so bad. Look, our country is stagnant. We've lost our jobs, we've lost our businesses. We're not making things anymore, relatively speaking. Our product is pouring in from China, pouring in from Vietnam, pouring in from all over the world. I've visited so many communities. This has been such an incredible education for me, Chris. I've gotten to know so many, I’ve developed so many friends over the last year. And they cry when they see what has happened. I pass factories that were thriving, 20, 25 years ago and because of the bill her husband signed and that she blessed 100%. It is just horrible what has happened to these people in these communities. Now, she can say her husband did well but boy, did they suffer as NAFTA kicked in because it didn't really kick in very much. But it kicked in after they left. Boy, did they suffer. That was one of the worst things that has ever been signed by our country. Now she wants to sign Trans-Pacific Partnership. And she wants it. She lied when she said she didn't call it the gold standard in one of the debates. She totally lied. She did call it the gold standard. And they actually fact checked and they said I was right.",2235,2333,104,15,5,-10,-10,104,1,100,0,7
"8","106_Trump:","106","Trump:","Trump: And that will be as bad as NAFTA.",2341,2342,106,1,0,-1,-1,106,1,100,0,8
"9","107_Clinton:","107","Clinton:","Clinton: Well, first, let me say, number one, when I saw the final agreement for TPP, I said I was against it. It didn't meet my test. I've had the same test. Does it create jobs, raise incomes and further our national security. I’m against it now. I’ll be against it after the election. I'll be against it when I'm president. There's only one of us on this stage who has actually shipped jobs to Mexico because that's Donald. He has shipped jobs to 12 countries including Mexico. But he mentioned China. And, you know, one of the biggest problems we have with China is the illegal dumping of steel and aluminum into our markets. I have fought against that as a senator. I have stood up against it as Secretary of State. Donald has bought Chinese steel and aluminum. In fact, the Trump Hotel right here in Las Vegas was made with Chinese steel. So he goes around with crocodile tears about how terrible it is. But he has given jobs to Chinese steelworkers, not American steelworkers. That's the kind of approach that is just not going to work. We're going to pull the country together. We're going to have trade agreements that we enforce. That's why I'm going to have a trade prosecutor for the first time in history. And we're going to enforce those agreements and we're going to look for businesses to help us by buying American products.",2343,2417,107,3,1,-2,-2,107,1,100,0,9
"10","108_Trump:","108","Trump:","Trump: Can I ask a simple question? She's been doing this for 30 years. Why the hell didn't you do it over the last 15, 20 years? You were very much involved.",2418,2424,108,1,0,-1,-1,108,1,100,0,10
